"District","FIPS","Year","Special Education Status","Variable","Measure Type","Value"
"Hartford School District","900337070","2011-2012","Special Education","Total Cohort Count","Number",269
"Hartford School District","900337070","2014-2015","Special Education","Total Cohort Count","Number",269
"New Canaan School District","900150580","2014-2015","Non-Special Education","Total Cohort Count","Number",269
"New Canaan School District","900150580","2014-2015","Non-Special Education","Four Year Graduation Count","Number",269
"Darien School District","900118850","2011-2012","Non-Special Education","Total Cohort Count","Number",268
"Madison School District","900944560","2014-2015","Non-Special Education","Total Cohort Count","Number",268
"Madison School District","900944560","2015-2016","Non-Special Education","Four Year Graduation Count","Number",268
"Wethersfield School District","900384900","2015-2016","Non-Special Education","Four Year Graduation Count","Number",268
"Woodstock Academy District","","2011-2012","Non-Special Education","Total Cohort Count","Number",268
"Woodstock Academy District","","2014-2015","Non-Special Education","Total Cohort Count","Number",268
"Farmington School District","900327600","2011-2012","Non-Special Education","Four Year Graduation Count","Number",267
"Middletown School District","900747360","2012-2013","Non-Special Education","Four Year Graduation Count","Number",267
"Middletown School District","900747360","2014-2015","Non-Special Education","Total Cohort Count","Number",267
"Newington School District","900352140","2016-2017","Non-Special Education","Four Year Graduation Count","Number",267
"Regional School District 19","","2012-2013","Non-Special Education","Total Cohort Count","Number",267
"Madison School District","900944560","2014-2015","Non-Special Education","Four Year Graduation Count","Number",266
"North Haven School District","900954870","2013-2014","Non-Special Education","Four Year Graduation Count","Number",266
"Wethersfield School District","900384900","2011-2012","Non-Special Education","Total Cohort Count","Number",266
"Woodstock Academy District","","2012-2013","Non-Special Education","Total Cohort Count","Number",266
"Monroe School District","900148620","2013-2014","Non-Special Education","Total Cohort Count","Number",265
"Wethersfield School District","900384900","2013-2014","Non-Special Education","Four Year Graduation Count","Number",265
"Woodstock Academy District","","2014-2015","Non-Special Education","Four Year Graduation Count","Number",265
"Wethersfield School District","900384900","2010-2011","Non-Special Education","Four Year Graduation Count","Number",264
"Windsor School District","900387000","2010-2011","Non-Special Education","Four Year Graduation Count","Number",264
"Madison School District","900944560","2016-2017","Non-Special Education","Total Cohort Count","Number",263
"Madison School District","900944560","2016-2017","Non-Special Education","Four Year Graduation Count","Number",263
"Capitol Region Education Council","","2013-2014","Non-Special Education","Four Year Graduation Count","Number",262
"East Lyme School District","901123400","2012-2013","Non-Special Education","Total Cohort Count","Number",262
"Darien School District","900118850","2011-2012","Non-Special Education","Four Year Graduation Count","Number",261
"Farmington School District","900327600","2016-2017","Non-Special Education","Total Cohort Count","Number",261
"Monroe School District","900148620","2013-2014","Non-Special Education","Four Year Graduation Count","Number",261
"North Haven School District","900954870","2011-2012","Non-Special Education","Total Cohort Count","Number",261
"Regional School District 15","","2012-2013","Non-Special Education","Four Year Graduation Count","Number",260
"Regional School District 15","","2014-2015","Non-Special Education","Total Cohort Count","Number",260
"Unified School District #1","","2011-2012","Non-Special Education","Other Count","Number",260
"Vernon School District","901378250","2010-2011","Non-Special Education","Total Cohort Count","Number",260
"Wilton School District","900186370","2013-2014","Non-Special Education","Total Cohort Count","Number",260
